name,class,category,input_shape,output_shape,direct_params,direct_trainable_params,approx_macs,details
backbone.stages.1.op_list.1.main,MBConv,MBConv block,"[[1, 64, 28, 28]]","[1, 64, 28, 28]",0,0,,
backbone.stages.1.op_list.1.shortcut,IdentityLayer,IdentityLayer,"[[1, 64, 28, 28]]","[1, 64, 28, 28]",0,0,,
backbone.stages.1.op_list.1,ResidualBlock,Residual block,"[[1, 64, 28, 28]]","[1, 64, 28, 28]",0,0,,
backbone.stages.1.op_list.2.main.inverted_conv.conv,Conv2d,Pointwise Conv2d,"[[1, 64, 28, 28]]","[1, 256, 28, 28]",16384,16384,12845056,"in=64, out=256, k=(1, 1), stride=(1, 1), groups=1, bias=False"
backbone.stages.1.op_list.2.main.inverted_conv.norm,BatchNorm2d,Normalization,"[[1, 256, 28, 28]]","[1, 256, 28, 28]",512,512,,
backbone.stages.1.op_list.2.main.inverted_conv.act,Hardswish,Activation,"[[1, 256, 28, 28]]","[1, 256, 28, 28]",0,0,,
backbone.stages.1.op_list.2.main.depth_conv.conv,Conv2d,Depthwise Conv2d,"[[1, 256, 28, 28]]","[1, 256, 28, 28]",2304,2304,1806336,"in=256, out=256, k=(3, 3), stride=(1, 1), groups=256, bias=False"
backbone.stages.1.op_list.2.main.depth_conv.norm,BatchNorm2d,Normalization,"[[1, 256, 28, 28]]","[1, 256, 28, 28]",512,512,,
backbone.stages.1.op_list.2.main.depth_conv.act,Hardswish,Activation,"[[1, 256, 28, 28]]","[1, 256, 28, 28]",0,0,,
backbone.stages.1.op_list.2.main.point_conv.conv,Conv2d,Pointwise Conv2d,"[[1, 256, 28, 28]]","[1, 64, 28, 28]",16384,16384,12845056,"in=256, out=64, k=(1, 1), stride=(1, 1), groups=1, bias=False"
backbone.stages.1.op_list.2.main.point_conv.norm,BatchNorm2d,Normalization,"[[1, 64, 28, 28]]","[1, 64, 28, 28]",128,128,,
backbone.stages.1.op_list.2.main,MBConv,MBConv block,"[[1, 64, 28, 28]]","[1, 64, 28, 28]",0,0,,
backbone.stages.1.op_list.2.shortcut,IdentityLayer,IdentityLayer,"[[1, 64, 28, 28]]","[1, 64, 28, 28]",0,0,,
backbone.stages.1.op_list.2,ResidualBlock,Residual block,"[[1, 64, 28, 28]]","[1, 64, 28, 28]",0,0,,
backbone.stages.2.op_list.0.main.inverted_conv.conv,Conv2d,Pointwise Conv2d,"[[1, 64, 28, 28]]","[1, 256, 28, 28]",16640,16640,12845056,"in=64, out=256, k=(1, 1), stride=(1, 1), groups=1, bias=True"
backbone.stages.2.op_list.0.main.inverted_conv.act,Hardswish,Activation,"[[1, 256, 28, 28]]","[1, 256, 28, 28]",0,0,,
backbone.stages.2.op_list.0.main.depth_conv.conv,Conv2d,Depthwise Conv2d,"[[1, 256, 28, 28]]","[1, 256, 14, 14]",2560,2560,451584,"in=256, out=256, k=(3, 3), stride=(2, 2), groups=256, bias=True"
backbone.stages.2.op_list.0.main.depth_conv.act,Hardswish,Activation,"[[1, 256, 14, 14]]","[1, 256, 14, 14]",0,0,,
