name,class,category,approx_non_mac_ops,non_mac_breakdown
backbone.stages.3.op_list.1.context_module.main,LiteMLA,Attention block,26656,"{""add"": 1568, ""div"": 25088}"
backbone.stages.3.op_list.1.context_module.shortcut,IdentityLayer,IdentityLayer,0,{}
backbone.stages.3.op_list.1.context_module,ResidualBlock,Residual block,12544,"{""add"": 12544}"
backbone.stages.3.op_list.1.local_module.main.inverted_conv.conv,Conv2d,Pointwise Conv2d,50176,"{""add"": 50176}"
backbone.stages.3.op_list.1.local_module.main.inverted_conv.act,Hardswish,Activation,250880,"{""add"": 50176, ""compare"": 100352, ""div"": 50176, ""mul"": 50176}"
backbone.stages.3.op_list.1.local_module.main.depth_conv.conv,Conv2d,Depthwise Conv2d,50176,"{""add"": 50176}"
backbone.stages.3.op_list.1.local_module.main.depth_conv.act,Hardswish,Activation,250880,"{""add"": 50176, ""compare"": 100352, ""div"": 50176, ""mul"": 50176}"
backbone.stages.3.op_list.1.local_module.main.point_conv.conv,Conv2d,Pointwise Conv2d,0,{}
backbone.stages.3.op_list.1.local_module.main.point_conv.norm,BatchNorm2d,Normalization,50688,"{""add"": 25344, ""div"": 12544, ""mul"": 12544, ""sqrt"": 256}"
backbone.stages.3.op_list.1.local_module.main,MBConv,MBConv block,0,{}
backbone.stages.3.op_list.1.local_module.shortcut,IdentityLayer,IdentityLayer,0,{}
backbone.stages.3.op_list.1.local_module,ResidualBlock,Residual block,12544,"{""add"": 12544}"
backbone.stages.3.op_list.2.context_module.main.qkv.conv,Conv2d,Pointwise Conv2d,0,{}
backbone.stages.3.op_list.2.context_module.main.aggreg.0.0,Conv2d,Depthwise Conv2d,0,{}
backbone.stages.3.op_list.2.context_module.main.aggreg.0.1,Conv2d,Pointwise Conv2d,0,{}
backbone.stages.3.op_list.2.context_module.main.kernel_func,ReLU,Activation,25088,"{""compare"": 25088}"
backbone.stages.3.op_list.2.context_module.main.kernel_func,ReLU,Activation,25088,"{""compare"": 25088}"
backbone.stages.3.op_list.2.context_module.main.proj.conv,Conv2d,Pointwise Conv2d,0,{}
backbone.stages.3.op_list.2.context_module.main.proj.norm,BatchNorm2d,Normalization,50688,"{""add"": 25344, ""div"": 12544, ""mul"": 12544, ""sqrt"": 256}"
backbone.stages.3.op_list.2.context_module.main,LiteMLA,Attention block,26656,"{""add"": 1568, ""div"": 25088}"
backbone.stages.3.op_list.2.context_module.shortcut,IdentityLayer,IdentityLayer,0,{}
backbone.stages.3.op_list.2.context_module,ResidualBlock,Residual block,12544,"{""add"": 12544}"
backbone.stages.3.op_list.2.local_module.main.inverted_conv.conv,Conv2d,Pointwise Conv2d,50176,"{""add"": 50176}"
backbone.stages.3.op_list.2.local_module.main.inverted_conv.act,Hardswish,Activation,250880,"{""add"": 50176, ""compare"": 100352, ""div"": 50176, ""mul"": 50176}"
backbone.stages.3.op_list.2.local_module.main.depth_conv.conv,Conv2d,Depthwise Conv2d,50176,"{""add"": 50176}"
backbone.stages.3.op_list.2.local_module.main.depth_conv.act,Hardswish,Activation,250880,"{""add"": 50176, ""compare"": 100352, ""div"": 50176, ""mul"": 50176}"
backbone.stages.3.op_list.2.local_module.main.point_conv.conv,Conv2d,Pointwise Conv2d,0,{}
backbone.stages.3.op_list.2.local_module.main.point_conv.norm,BatchNorm2d,Normalization,50688,"{""add"": 25344, ""div"": 12544, ""mul"": 12544, ""sqrt"": 256}"
backbone.stages.3.op_list.2.local_module.main,MBConv,MBConv block,0,{}
backbone.stages.3.op_list.2.local_module.shortcut,IdentityLayer,IdentityLayer,0,{}
backbone.stages.3.op_list.2.local_module,ResidualBlock,Residual block,12544,"{""add"": 12544}"
backbone.stages.3.op_list.3.context_module.main.qkv.conv,Conv2d,Pointwise Conv2d,0,{}
backbone.stages.3.op_list.3.context_module.main.aggreg.0.0,Conv2d,Depthwise Conv2d,0,{}
backbone.stages.3.op_list.3.context_module.main.aggreg.0.1,Conv2d,Pointwise Conv2d,0,{}
backbone.stages.3.op_list.3.context_module.main.kernel_func,ReLU,Activation,25088,"{""compare"": 25088}"
backbone.stages.3.op_list.3.context_module.main.kernel_func,ReLU,Activation,25088,"{""compare"": 25088}"
backbone.stages.3.op_list.3.context_module.main.proj.conv,Conv2d,Pointwise Conv2d,0,{}
backbone.stages.3.op_list.3.context_module.main.proj.norm,BatchNorm2d,Normalization,50688,"{""add"": 25344, ""div"": 12544, ""mul"": 12544, ""sqrt"": 256}"
backbone.stages.3.op_list.3.context_module.main,LiteMLA,Attention block,26656,"{""add"": 1568, ""div"": 25088}"
backbone.stages.3.op_list.3.context_module.shortcut,IdentityLayer,IdentityLayer,0,{}
backbone.stages.3.op_list.3.context_module,ResidualBlock,Residual block,12544,"{""add"": 12544}"
backbone.stages.3.op_list.3.local_module.main.inverted_conv.conv,Conv2d,Pointwise Conv2d,50176,"{""add"": 50176}"
backbone.stages.3.op_list.3.local_module.main.inverted_conv.act,Hardswish,Activation,250880,"{""add"": 50176, ""compare"": 100352, ""div"": 50176, ""mul"": 50176}"
backbone.stages.3.op_list.3.local_module.main.depth_conv.conv,Conv2d,Depthwise Conv2d,50176,"{""add"": 50176}"
backbone.stages.3.op_list.3.local_module.main.depth_conv.act,Hardswish,Activation,250880,"{""add"": 50176, ""compare"": 100352, ""div"": 50176, ""mul"": 50176}"
backbone.stages.3.op_list.3.local_module.main.point_conv.conv,Conv2d,Pointwise Conv2d,0,{}
backbone.stages.3.op_list.3.local_module.main.point_conv.norm,BatchNorm2d,Normalization,50688,"{""add"": 25344, ""div"": 12544, ""mul"": 12544, ""sqrt"": 256}"
backbone.stages.3.op_list.3.local_module.main,MBConv,MBConv block,0,{}
backbone.stages.3.op_list.3.local_module.shortcut,IdentityLayer,IdentityLayer,0,{}
backbone.stages.3.op_list.3.local_module,ResidualBlock,Residual block,12544,"{""add"": 12544}"
backbone.stages.3.op_list.4.context_module.main.qkv.conv,Conv2d,Pointwise Conv2d,0,{}
backbone.stages.3.op_list.4.context_module.main.aggreg.0.0,Conv2d,Depthwise Conv2d,0,{}
backbone.stages.3.op_list.4.context_module.main.aggreg.0.1,Conv2d,Pointwise Conv2d,0,{}
backbone.stages.3.op_list.4.context_module.main.kernel_func,ReLU,Activation,25088,"{""compare"": 25088}"
backbone.stages.3.op_list.4.context_module.main.kernel_func,ReLU,Activation,25088,"{""compare"": 25088}"
backbone.stages.3.op_list.4.context_module.main.proj.conv,Conv2d,Pointwise Conv2d,0,{}
backbone.stages.3.op_list.4.context_module.main.proj.norm,BatchNorm2d,Normalization,50688,"{""add"": 25344, ""div"": 12544, ""mul"": 12544, ""sqrt"": 256}"
backbone.stages.3.op_list.4.context_module.main,LiteMLA,Attention block,26656,"{""add"": 1568, ""div"": 25088}"
backbone.stages.3.op_list.4.context_module.shortcut,IdentityLayer,IdentityLayer,0,{}
backbone.stages.3.op_list.4.context_module,ResidualBlock,Residual block,12544,"{""add"": 12544}"
backbone.stages.3.op_list.4.local_module.main.inverted_conv.conv,Conv2d,Pointwise Conv2d,50176,"{""add"": 50176}"
backbone.stages.3.op_list.4.local_module.main.inverted_conv.act,Hardswish,Activation,250880,"{""add"": 50176, ""compare"": 100352, ""div"": 50176, ""mul"": 50176}"
backbone.stages.3.op_list.4.local_module.main.depth_conv.conv,Conv2d,Depthwise Conv2d,50176,"{""add"": 50176}"
backbone.stages.3.op_list.4.local_module.main.depth_conv.act,Hardswish,Activation,250880,"{""add"": 50176, ""compare"": 100352, ""div"": 50176, ""mul"": 50176}"
backbone.stages.3.op_list.4.local_module.main.point_conv.conv,Conv2d,Pointwise Conv2d,0,{}
backbone.stages.3.op_list.4.local_module.main.point_conv.norm,BatchNorm2d,Normalization,50688,"{""add"": 25344, ""div"": 12544, ""mul"": 12544, ""sqrt"": 256}"
backbone.stages.3.op_list.4.local_module.main,MBConv,MBConv block,0,{}
backbone.stages.3.op_list.4.local_module.shortcut,IdentityLayer,IdentityLayer,0,{}
backbone.stages.3.op_list.4.local_module,ResidualBlock,Residual block,12544,"{""add"": 12544}"
head.op_list.0.conv,Conv2d,Pointwise Conv2d,0,{}
head.op_list.0.norm,BatchNorm2d,Normalization,304128,"{""add"": 152064, ""div"": 75264, ""mul"": 75264, ""sqrt"": 1536}"
head.op_list.0.act,Hardswish,Activation,376320,"{""add"": 75264, ""compare"": 150528, ""div"": 75264, ""mul"": 75264}"
head.op_list.1,AdaptiveAvgPool2d,Pooling,75264,"{""add"": 73728, ""div"": 1536, ""reduction_add"": 73728}"
head.op_list.2.linear,Linear,Linear,0,{}
head.op_list.2.norm,LayerNorm,Normalization,11202,"{""add"": 6399, ""div"": 1602, ""mul"": 3200, ""reduction_add"": 3198, ""sqrt"": 1}"
head.op_list.2.act,Hardswish,Activation,8000,"{""add"": 1600, ""compare"": 3200, ""div"": 1600, ""mul"": 1600}"
head.op_list.3.linear,Linear,Linear,1000,"{""add"": 1000}"
