module,operation,macs,left_zero_macs,right_zero_macs,both_zero_macs,skippable_macs,nonzero_product_macs,padding_macs,skippable_percent,skippable_excluding_padding
backbone.stages.3.op_list.3.context_module.main,VK_Q,852992,17493,498916,12750,503659,349333,0,59.0461575255102,503659
backbone.stages.3.op_list.3.context_module.main.proj.conv,conv,12845056,0,0,0,0,12845056,0,0.0,0
backbone.stages.3.op_list.3.local_module.main.inverted_conv.conv,conv,25690112,0,0,0,0,25690112,0,0.0,0
backbone.stages.3.op_list.3.local_module.main.depth_conv.conv,conv,903168,0,438698,0,438698,464470,163840,48.57324440192744,274858
backbone.stages.3.op_list.3.local_module.main.point_conv.conv,conv,25690112,0,20224,0,20224,25669888,0,0.07872289540816327,20224
backbone.stages.3.op_list.4.context_module.main.qkv.conv,conv,19267584,0,0,0,0,19267584,0,0.0,0
backbone.stages.3.op_list.4.context_module.main.aggreg.0.0,conv,1881600,0,589824,0,589824,1291776,589824,31.346938775510203,0
backbone.stages.3.op_list.4.context_module.main.aggreg.0.1,conv,1204224,0,0,0,0,1204224,0,0.0,0
backbone.stages.3.op_list.4.context_module.main,Vpad_Kt,852992,0,561663,0,561663,291329,0,65.8462213010204,561663
backbone.stages.3.op_list.4.context_module.main,VK_Q,852992,24157,441966,15436,450687,402305,0,52.836017219387756,450687
backbone.stages.3.op_list.4.context_module.main.proj.conv,conv,12845056,0,0,0,0,12845056,0,0.0,0
backbone.stages.3.op_list.4.local_module.main.inverted_conv.conv,conv,25690112,0,0,0,0,25690112,0,0.0,0
backbone.stages.3.op_list.4.local_module.main.depth_conv.conv,conv,903168,0,483126,0,483126,420042,163840,53.49237351190476,319286
backbone.stages.3.op_list.4.local_module.main.point_conv.conv,conv,25690112,0,25088,0,25088,25665024,0,0.09765625,25088
head.op_list.0.conv,conv,38535168,0,0,0,0,38535168,0,0.0,0
head.op_list.2.linear,linear,4915200,166400,0,0,166400,4748800,0,3.3854166666666665,166400
head.op_list.3.linear,linear,3200000,430000,0,0,430000,2770000,0,13.4375,430000
