module,role,elements,zeros,blocks,zero_blocks,block_tail_elements,channels,zero_channels,positions,zero_positions,zero_percent,zero_block_percent
backbone.stages.1.op_list.1.main.inverted_conv.act,input,5017600,0,313600,0,0,6400,0,19600,0,0.0,0.0
backbone.stages.1.op_list.1.main.inverted_conv.act,output,5017600,123078,313600,1160,0,6400,1,19600,0,2.4529257015306123,0.36989795918367346
backbone.stages.1.op_list.1.main.depth_conv.conv,input,5017600,123078,313600,1160,0,6400,1,19600,0,2.4529257015306123,0.36989795918367346
backbone.stages.1.op_list.1.main.depth_conv.conv,output,5017600,36058,313600,543,0,6400,1,19600,0,0.7186304209183674,0.17315051020408162
backbone.stages.1.op_list.1.main.depth_conv.norm,input,5017600,36058,313600,543,0,6400,1,19600,0,0.7186304209183674,0.17315051020408162
backbone.stages.1.op_list.1.main.depth_conv.norm,output,5017600,0,313600,0,0,6400,0,19600,0,0.0,0.0
backbone.stages.1.op_list.1.main.depth_conv.act,input,5017600,0,313600,0,0,6400,0,19600,0,0.0,0.0
backbone.stages.1.op_list.1.main.depth_conv.act,output,5017600,71370,313600,112,0,6400,0,19600,0,1.4223931760204083,0.03571428571428571
backbone.stages.1.op_list.1.main.point_conv.conv,input,5017600,71370,313600,112,0,6400,0,19600,0,1.4223931760204083,0.03571428571428571
backbone.stages.1.op_list.1.main.point_conv.conv,output,1254400,0,78400,0,0,1600,0,19600,0,0.0,0.0
backbone.stages.1.op_list.1.main.point_conv.norm,input,1254400,0,78400,0,0,1600,0,19600,0,0.0,0.0
backbone.stages.1.op_list.1.main.point_conv.norm,output,1254400,0,78400,0,0,1600,0,19600,0,0.0,0.0
backbone.stages.1.op_list.1.shortcut,input,1254400,0,78400,0,0,1600,0,19600,0,0.0,0.0
backbone.stages.1.op_list.1.shortcut,output,1254400,0,78400,0,0,1600,0,19600,0,0.0,0.0
backbone.stages.1.op_list.1,input,1254400,0,78400,0,0,1600,0,19600,0,0.0,0.0
backbone.stages.1.op_list.1,output,1254400,0,78400,0,0,1600,0,19600,0,0.0,0.0
backbone.stages.1.op_list.2.main.inverted_conv.conv,input,1254400,0,78400,0,0,1600,0,19600,0,0.0,0.0
backbone.stages.1.op_list.2.main.inverted_conv.conv,output,5017600,0,313600,0,0,6400,0,19600,0,0.0,0.0
backbone.stages.1.op_list.2.main.inverted_conv.norm,input,5017600,0,313600,0,0,6400,0,19600,0,0.0,0.0
backbone.stages.1.op_list.2.main.inverted_conv.norm,output,5017600,0,313600,0,0,6400,0,19600,0,0.0,0.0
backbone.stages.1.op_list.2.main.inverted_conv.act,input,5017600,0,313600,0,0,6400,0,19600,0,0.0,0.0
backbone.stages.1.op_list.2.main.inverted_conv.act,output,5017600,187537,313600,198,0,6400,0,19600,0,3.737583705357143,0.06313775510204081
backbone.stages.1.op_list.2.main.depth_conv.conv,input,5017600,187537,313600,198,0,6400,0,19600,0,3.737583705357143,0.06313775510204081
backbone.stages.1.op_list.2.main.depth_conv.conv,output,5017600,9679,313600,58,0,6400,0,19600,0,0.19290098852040816,0.018494897959183673
backbone.stages.1.op_list.2.main.depth_conv.norm,input,5017600,9679,313600,58,0,6400,0,19600,0,0.19290098852040816,0.018494897959183673
backbone.stages.1.op_list.2.main.depth_conv.norm,output,5017600,0,313600,0,0,6400,0,19600,0,0.0,0.0
backbone.stages.1.op_list.2.main.depth_conv.act,input,5017600,0,313600,0,0,6400,0,19600,0,0.0,0.0
backbone.stages.1.op_list.2.main.depth_conv.act,output,5017600,37460,313600,56,0,6400,0,19600,0,0.7465720663265306,0.017857142857142856
backbone.stages.1.op_list.2.main.point_conv.conv,input,5017600,37460,313600,56,0,6400,0,19600,0,0.7465720663265306,0.017857142857142856
